PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Cairo Santos,CHI,K,12,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,6.32,6.32,5,5,5,0,0,0,0,0,0,0,0,0,-1.32,-1.32,-1.32
Sergio Castillo,NYJ,K,12,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,5.36,5.36,3,3,3,0,0,0,0,0,0,0,0,0,-2.36,-2.36,-2.36
Russell Wilson,SEA,QB,12,PHI,261.71,2.25,0.62,4.94,28.1,0.14,0,0,0,230,1,0,4,14,0,0,0,0,22.5,22.5,22.5,14.6,14.6,14.6,-31.71,-1.25,-0.62,-0.94,-14.1,-0.14,0,0,0,-7.9,-7.9,-7.9
Ben Roethlisberger,PIT,QB,12,BAL,260.59,1.81,0.84,1.71,6.16,0.08,0,0,0,266,1,0,0,0,0,0,0,0,17.92,17.92,17.92,14.64,14.64,14.64,5.41,-0.81,-0.84,-1.71,-6.16,-0.08,0,0,0,-3.28,-3.28,-3.28
Carson Wentz,PHI,QB,12,SEA,225.39,1.3,0.66,2.69,11.71,0.13,0,0,0,215,2,0,5,42,0,0,0,0,15.51,15.51,15.51,20.8,20.8,20.8,-10.39,0.7,-0.66,2.31,30.29,-0.13,0,0,0,5.29,5.29,5.29
Robert Griffin,BAL,QB,12,PIT,191.48,0.84,0.8,7.31,33.89,0.24,0,0,0,33,0,0,7,68,0,0,0,0,15.05,15.05,15.05,8.12,8.12,8.12,-158.48,-0.84,-0.8,-0.31,34.11,-0.24,0,0,0,-6.93,-6.93,-6.93
Chris Carson,SEA,RB,12,PHI,0,0,0,16.76,73.29,0.5,2.72,20.28,0.15,0,0,0,8,41,1,2,18,0,13.26,15.98,14.62,11.9,13.9,12.9,0,0,0,-8.76,-32.29,0.5,-0.72,-2.28,-0.15,-1.36,-2.08,-1.72
Miles Sanders,PHI,RB,12,SEA,0,0,0,14.72,65.83,0.45,2.68,22.62,0.11,0,0,0,7,17,0,2,7,0,12.21,14.89,13.55,2.4,4.4,3.4,0,0,0,-7.72,-48.83,-0.45,-0.68,-15.62,-0.11,-9.81,-10.49,-10.15
Benny Snell,PIT,RB,12,BAL,0,0,0,13.5,55.31,0.43,1.7,11.92,0.08,0,0,0,16,60,0,3,33,0,9.78,11.48,10.63,9.3,12.3,10.8,0,0,0,2.5,4.69,-0.43,1.3,21.08,-0.08,-0.48,0.82,0.17
Gus Edwards,BAL,RB,12,PIT,0,0,0,15.01,67.07,0.31,1.27,9.13,0.03,0,0,0,9,10,1,0,0,0,9.66,10.93,10.3,7,7,7,0,0,0,-6.01,-57.07,0.69,-1.27,-9.13,-0.03,-2.66,-3.93,-3.3
